x,y,UTM zone,County,Sitetype,Site Name,Details
595397,3936455,17N,Randolph,q,Black Mtn Rd Quarry 3,quarry
595579,3936781,17N,Randolph,q,Black Mtn Rd Quarry 2,Quarry & Finishing site
595806,3937168,17N,Randolph,q,Black Mtn Rd Quarry 1,Quarry
596521,3936883,17N,Randolph,h,Black Mtn Hab site,Habitation Savannah River
595480,3937785,17N,Randolph,h,Black Mtn Hab site 001,Habitation Halifax
595464,3937944,17N,Randolph,q,Black Mtn Q,Quarry of Black Rhyodacite
596014,3939129,17N,Randolph,q,Robbins Branch,
595319,3921557,17N,Randolph,q,Quartz high grade outcrop,Possible prehistoric quarry and Historic mine. Middle archaic points found. Lecroy
595950,3922402,17N,Randolph,h,Habitation site,"Kirk CN, Small Savannah river"
596119,3923149,17N,Montgomery,q,Quarry,
596445,3923404,17N,Montgomery,q,Quarry Montg-003,"Cores, spall, debitage"
597449,3923440,17N,Montgomery,q,Flint Hill Quarry unusual material,Metatuff brecia. Large amounts of spall and debitage
597702,3923450,17N,Montgomery,h,Flint Hill Hab site,"Morrow Mountain, MMII, stanley"
582481,3912639,17N,Montgomery,h,Morrow Mountain State Park,Massive quarry
582919,3917872,17N,Montgomery,q,Falls Dam Green Stripe,
584406,3919553,17N,Montgomery,q,Wolfs Den Quarry,
581837,3920065,17N,Montgomery,h,Hardaway Site,
583386,3923624,17N,Montgomery,h,Habitation site,
584922,3920036,17N,Montgomery,q,Badin Quarry 1,
600813,3920817,17N,Montgomery,h,Paleo/early archaic Hab,"hardaway, KirkCN serated,"
604246,3915674,17N,Montgomery,h,early Archaic hab site,"kirk stemmed, sanannah river, lecroy"
605356,3936262,17N,Randolph,q,Quarry-Rand-0012,bifaces and debitage
607392,3940035,17N,Randolph,q,High grade quarry??,
596746,3941236,17N,Randolph,q,Snowflake Rhyolite nodules only,
596715,3941388,17N,Randolph,q,Green & Black Prod Area (Moffit 001),
596802,3941663,17N,Randolph,h,Hab/Production (Moffit 003),
595871,3941670,17N,Randolph,h,Habitation site,
601547,3942131,17N,Randolph,h,Hab/Production site,
601504,3942413,17N,Randolph,p,Large production,"debitage,"
601127,3942480,17N,Randolph,q,Quarry & Production,porphrytic rhyolite
600109,3942829,17N,Randolph,q,Grey vein Worked Blrk009,
600159,3943077,17N,Randolph,q,Green Banded (Betty McGhee Creek),
599261,3943227,17N,Randolph,q,Large Quarry and Production,
598076,3943180,17N,Randolph,q,Major Quarry Area (Tot Hill 002),dense stratified debitage approx 1M deep
597840,3943379,17N,Randolph,p,Finishing site,
597513,3943394,17N,Randolph,q,Black Bubble & Grey Black Bubble,clovis
597077,3943192,17N,Randolph,q,Small Qaurry/ Finishing Site (Betty McGhee Creek 001),
597199,3944110,17N,Randolph,h,Major Habitation Site,
596676,3944968,17N,Randolph,h,Hab/Prod Area (Tot Hill 005),eared yadkin
597269,3944980,17N,Randolph,q,Green Quarry Tot Hill 1,
597685,3945102,17N,Randolph,q,Tot Hill 3 Large quarry Heavy use,
597715,3945285,17N,Randolph,q,Tot Hill 009 Black Quarry,
599756,3943697,17N,Randolph,h,Hab Site,debitage and broken PP
599022,3945272,17N,Randolph,q,Quarry (Doul 004),
598863,3945511,17N,Randolph,q,Black Bubble Production Site (Doul),
598266,3945512,17N,Randolph,h,Habitation site,
599131,3945736,17N,Randolph,p,Extremely Major Production Site (Doul 001),"Kirk stemmed, Quartz crystals, Hardaway base half"
599315,3946014,17N,Randolph,q,Major Quarry & Production Area (Doul 005),
598801,3946299,17N,Randolph,h,Guilford / Adena Site,
598942,3946335,17N,Randolph,q,Green Vein (Doul 001),
599015,3946356,17N,Randolph,q,Doul Mtn Black & Silver streak,
599236,3946456,17N,Randolph,q,Quarry w/ Production area Green w/ clear layers (Doul 003),
596780,3946175,17N,Randolph,h,Prod/ Hab site (Science Hill),
600872,3946835,17N,Randolph,q,Quarry (Asheboro Airport 001),
609907,3945039,17N,Randolph,h,Major Habitation Site,"Palmer, bifaces, MMII, Clovis base, Crystal biface, Kirk Stemmed, Kirk CN, Savannah River, Clovis base, Palmer/kirk CN, Savannah River, Savanah river small, Kirk Cn, Stanly,"
609122,3945681,17N,Randolph,q,Major Quarry (School House 001),quatities of debitage
609259,3945824,17N,Randolph,q,Quarry Extension (School House 1a),
609215,3946396,17N,Randolph,q,Large Quarry and Production,"Grey Green Rhyolite, Tiger striped brown Rhyolite"
609051,3946473,17N,Randolph,h,Large Hab/ Prod Site,
604089,3948406,17N,Randolph,q,Quarry,
604424,3948914,17N,Randolph,h,Hab Site,"randolph peedee palmer,"
604457,3949052,17N,Randolph,h,Hab/Production Site,
611573,3949700,17N,Randolph,q,Quarry Site (Graceland 001),
611664,3949654,17N,Randolph,q,Quarry Extension (Graceland 001a),
611765,3949858,17N,Randolph,q,Graceland Quarry 003,
611924,3950300,17N,Randolph,h,Graceland Site (31RD1568),
612088,3950386,17N,Randolph,q,Graceland Quarry 002,
612351,3950467,17N,Randolph,p,Major Production site Graceland 002a,
607661,3948589,17N,Randolph,q,North Hampton Quarry Site,
