GEO_ID,NAME,S1701_C01_002E
51001,"Accomack County, Virginia",6830
51003,"Albemarle County, Virginia",21506
51005,"Alleghany County, Virginia",2818
51007,"Amelia County, Virginia",2777
51009,"Amherst County, Virginia",6189
51011,"Appomattox County, Virginia",3316
51013,"Arlington County, Virginia",40469
51015,"Augusta County, Virginia",14368
51017,"Bath County, Virginia",694
51019,"Bedford County, Virginia",15528
51021,"Bland County, Virginia",1045
51023,"Botetourt County, Virginia",6486
51025,"Brunswick County, Virginia",2780
51027,"Buchanan County, Virginia",3760
51029,"Buckingham County, Virginia",3012
51031,"Campbell County, Virginia",10807
51033,"Caroline County, Virginia",6862
51035,"Carroll County, Virginia",5410
51036,"Charles City County, Virginia",1064
51037,"Charlotte County, Virginia",2507
51041,"Chesterfield County, Virginia",80653
51043,"Clarke County, Virginia",2925
51045,"Craig County, Virginia",868
51047,"Culpeper County, Virginia",12186
51049,"Cumberland County, Virginia",1896
51051,"Dickenson County, Virginia",2919
51053,"Dinwiddie County, Virginia",5743
51057,"Essex County, Virginia",2257
51059,"Fairfax County, Virginia",268390
51061,"Fauquier County, Virginia",16192
51063,"Floyd County, Virginia",3130
51065,"Fluvanna County, Virginia",5232
51067,"Franklin County, Virginia",10610
51069,"Frederick County, Virginia",19404
51071,"Giles County, Virginia",3311
51073,"Gloucester County, Virginia",7450
51075,"Goochland County, Virginia",4049
51077,"Grayson County, Virginia",2698
51079,"Greene County, Virginia",4673
51081,"Greensville County, Virginia",1863
51083,"Halifax County, Virginia",7109
51085,"Hanover County, Virginia",23149
51087,"Henrico County, Virginia",74182
51089,"Henry County, Virginia",10030
51091,"Highland County, Virginia",260
51093,"Isle of Wight County, Virginia",7493
51095,"James City County, Virginia",15048
51097,"King and Queen County, Virginia",1326
51099,"King George County, Virginia",6581
51101,"King William County, Virginia",3790
51103,"Lancaster County, Virginia",1678
51105,"Lee County, Virginia",4526
51107,"Loudoun County, Virginia",109996
51109,"Louisa County, Virginia",7083
51111,"Lunenburg County, Virginia",2270
51113,"Madison County, Virginia",2691
51115,"Mathews County, Virginia",1335
51117,"Mecklenburg County, Virginia",5675
51119,"Middlesex County, Virginia",1689
51121,"Montgomery County, Virginia",15116
51125,"Nelson County, Virginia",2633
51127,"New Kent County, Virginia",4280
51131,"Northampton County, Virginia",2306
51133,"Northumberland County, Virginia",1831
51135,"Nottoway County, Virginia",3000
51137,"Orange County, Virginia",7398
51139,"Page County, Virginia",4792
51141,"Patrick County, Virginia",3116
51143,"Pittsylvania County, Virginia",11915
51145,"Powhatan County, Virginia",5002
51147,"Prince Edward County, Virginia",3646
51149,"Prince George County, Virginia",8083
51153,"Prince William County, Virginia",123998
51155,"Pulaski County, Virginia",6096
51157,"Rappahannock County, Virginia",1272
51159,"Richmond County, Virginia",1473
51161,"Roanoke County, Virginia",18753
51163,"Rockbridge County, Virginia",3940
51165,"Rockingham County, Virginia",17385
51167,"Russell County, Virginia",5146
51169,"Scott County, Virginia",3908
51171,"Shenandoah County, Virginia",9030
51173,"Smyth County, Virginia",5970
51175,"Southampton County, Virginia",3374
51177,"Spotsylvania County, Virginia",32472
51179,"Stafford County, Virginia",37438
51181,"Surry County, Virginia",1171
51183,"Sussex County, Virginia",1694
51185,"Tazewell County, Virginia",8029
51187,"Warren County, Virginia",8575
51191,"Washington County, Virginia",9758
51193,"Westmoreland County, Virginia",3324
51195,"Wise County, Virginia",7429
51197,"Wythe County, Virginia",5621
51199,"York County, Virginia",16011
51510,"Alexandria city, Virginia",28355
51520,"Bristol city, Virginia",3446
51530,"Buena Vista city, Virginia",1201
51540,"Charlottesville city, Virginia",7261
51550,"Chesapeake city, Virginia",57142
51570,"Colonial Heights city, Virginia",3885
51580,"Covington city, Virginia",1052
51590,"Danville city, Virginia",8854
51595,"Emporia city, Virginia",1411
51600,"Fairfax city, Virginia",5283
51610,"Falls Church city, Virginia",3569
51620,"Franklin city, Virginia",1984
51630,"Fredericksburg city, Virginia",5891
51640,"Galax city, Virginia",1404
51650,"Hampton city, Virginia",28251
51660,"Harrisonburg city, Virginia",8663
51670,"Hopewell city, Virginia",5671
51678,"Lexington city, Virginia",583
51680,"Lynchburg city, Virginia",15124
51683,"Manassas city, Virginia",11003
51685,"Manassas Park city, Virginia",4092
51690,"Martinsville city, Virginia",3000
51700,"Newport News city, Virginia",40978
51710,"Norfolk city, Virginia",48164
51720,"Norton city, Virginia",923
51730,"Petersburg city, Virginia",6606
51735,"Poquoson city, Virginia",2657
51740,"Portsmouth city, Virginia",21704
51750,"Radford city, Virginia",1838
51760,"Richmond city, Virginia",38907
51770,"Roanoke city, Virginia",21322
51775,"Salem city, Virginia",4770
51790,"Staunton city, Virginia",4538
51800,"Suffolk city, Virginia",21562
51810,"Virginia Beach city, Virginia",99972
51820,"Waynesboro city, Virginia",4930
51830,"Williamsburg city, Virginia",1605
51840,"Winchester city, Virginia",6225
