GEO_ID,NAME,Total Population
51001,"Accomack County, Virginia",32742
51003,"Albemarle County, Virginia",106355
51005,"Alleghany County, Virginia",15286
51007,"Amelia County, Virginia",12854
51009,"Amherst County, Virginia",31882
51011,"Appomattox County, Virginia",15577
51013,"Arlington County, Virginia",231803
51015,"Augusta County, Virginia",74701
51017,"Bath County, Virginia",4393
51019,"Bedford County, Virginia",77908
51021,"Bland County, Virginia",6447
51023,"Botetourt County, Virginia",33222
51025,"Brunswick County, Virginia",16665
51027,"Buchanan County, Virginia",22138
51029,"Buckingham County, Virginia",17004
51031,"Campbell County, Virginia",55170
51033,"Caroline County, Virginia",30184
51035,"Carroll County, Virginia",29738
51036,"Charles City County, Virginia",6995
51037,"Charlotte County, Virginia",12095
51041,"Chesterfield County, Virginia",339447
51043,"Clarke County, Virginia",14365
51045,"Craig County, Virginia",5113
51047,"Culpeper County, Virginia",50450
51049,"Cumberland County, Virginia",9786
51051,"Dickenson County, Virginia",14960
51053,"Dinwiddie County, Virginia",28308
51057,"Essex County, Virginia",11036
51059,"Fairfax County, Virginia",1143529
51061,"Fauquier County, Virginia",69115
51063,"Floyd County, Virginia",15666
51065,"Fluvanna County, Virginia",26282
51067,"Franklin County, Virginia",56233
51069,"Frederick County, Virginia",85153
51071,"Giles County, Virginia",16814
51073,"Gloucester County, Virginia",37161
51075,"Goochland County, Virginia",22482
51077,"Grayson County, Virginia",15811
51079,"Greene County, Virginia",19410
51081,"Greensville County, Virginia",11659
51083,"Halifax County, Virginia",34779
51085,"Hanover County, Virginia",104449
51087,"Henrico County, Virginia",325642
51089,"Henry County, Virginia",51588
51091,"Highland County, Virginia",2214
51093,"Isle of Wight County, Virginia",36372
51095,"James City County, Virginia",74153
51097,"King and Queen County, Virginia",7052
51099,"King George County, Virginia",25890
51101,"King William County, Virginia",16497
51103,"Lancaster County, Virginia",10804
51105,"Lee County, Virginia",24134
51107,"Loudoun County, Virginia",385143
51109,"Louisa County, Virginia",35380
51111,"Lunenburg County, Virginia",12278
51113,"Madison County, Virginia",13139
51115,"Mathews County, Virginia",8796
51117,"Mecklenburg County, Virginia",30847
51119,"Middlesex County, Virginia",10700
51121,"Montgomery County, Virginia",97997
51125,"Nelson County, Virginia",14812
51127,"New Kent County, Virginia",21103
51131,"Northampton County, Virginia",11957
51133,"Northumberland County, Virginia",12223
51135,"Nottoway County, Virginia",15500
51137,"Orange County, Virginia",35612
51139,"Page County, Virginia",23749
51141,"Patrick County, Virginia",17859
51143,"Pittsylvania County, Virginia",61676
51145,"Powhatan County, Virginia",28574
51147,"Prince Edward County, Virginia",22956
51149,"Prince George County, Virginia",37894
51153,"Prince William County, Virginia",456749
51155,"Pulaski County, Virginia",34234
51157,"Rappahannock County, Virginia",7332
51159,"Richmond County, Virginia",8878
51161,"Roanoke County, Virginia",93583
51163,"Rockbridge County, Virginia",22509
51165,"Rockingham County, Virginia",79444
51167,"Russell County, Virginia",27408
51169,"Scott County, Virginia",22009
51171,"Shenandoah County, Virginia",43045
51173,"Smyth County, Virginia",31059
51175,"Southampton County, Virginia",17939
51177,"Spotsylvania County, Virginia",131412
51179,"Stafford County, Virginia",144012
51181,"Surry County, Virginia",6600
51183,"Sussex County, Virginia",11486
51185,"Tazewell County, Virginia",42080
51187,"Warren County, Virginia",39449
51191,"Washington County, Virginia",54406
51193,"Westmoreland County, Virginia",17638
51195,"Wise County, Virginia",39025
51197,"Wythe County, Virginia",28940
51199,"York County, Virginia",67587
51510,"Alexandria city, Virginia",156505
51520,"Bristol city, Virginia",16843
51530,"Buena Vista city, Virginia",6399
51540,"Charlottesville city, Virginia",47042
51550,"Chesapeake city, Virginia",237820
51570,"Colonial Heights city, Virginia",17593
51580,"Covington city, Virginia",5582
51590,"Danville city, Virginia",41512
51595,"Emporia city, Virginia",5381
51600,"Fairfax city, Virginia",23865
51610,"Falls Church city, Virginia",14067
51620,"Franklin city, Virginia",8211
51630,"Fredericksburg city, Virginia",28469
51640,"Galax city, Virginia",6638
51650,"Hampton city, Virginia",135583
51660,"Harrisonburg city, Virginia",53391
51670,"Hopewell city, Virginia",22408
51678,"Lexington city, Virginia",7110
51680,"Lynchburg city, Virginia",80131
51683,"Manassas city, Virginia",41457
51685,"Manassas Park city, Virginia",16423
51690,"Martinsville city, Virginia",13101
51700,"Newport News city, Virginia",180145
51710,"Norfolk city, Virginia",245592
51720,"Norton city, Virginia",3990
51730,"Petersburg city, Virginia",31827
51735,"Poquoson city, Virginia",12039
51740,"Portsmouth city, Virginia",95311
51750,"Radford city, Virginia",17630
51760,"Richmond city, Virginia",223787
51770,"Roanoke city, Virginia",99621
51775,"Salem city, Virginia",25519
51790,"Staunton city, Virginia",24452
51800,"Suffolk city, Virginia",89160
51810,"Virginia Beach city, Virginia",450135
51820,"Waynesboro city, Virginia",21926
51830,"Williamsburg city, Virginia",14788
51840,"Winchester city, Virginia",27789
