State,Votes,Winning Party
Alabama,9,1
Alaska,3,1
Arizona,11,1
Arkansas,6,1
California,55,2
Colorado,9,2
Connecticut,7,2
Delaware,3,2
Florida,29,1
Georgia,16,1
Hawaii,4,2
Idaho,4,1
Illinois,20,2
Indiana,11,1
Iowa,6,1
Kansas,6,1
Kentucky,8,1
Louisiana,8,1
Maine,3,2
Maryland,10,2
Massachusetts,11,2
Michigan,16,1
Mississippi,6,1
Minnesota,10,2
Missouri,10,1
Montana,3,1
Nebraska,5,1
Nevada,6,2
New Hampshire,4,2
New Jersey,14,2
New Mexico,5,2
New York,29,2
North Carolina,15,1
North Dakota,3,1
Ohio,18,1
Oklahoma,7,1
Oregon,7,2
Pennsylvania,20,1
Rhode Island,4,2
South Carolina,9,1
South Dakota,3,1
Tennessee,11,1
Texas,38,1
Utah,6,1
Vermont,3,2
Virginia,13,2
Washington,12,2
District of Columbia,3,2
West Virginia,5,1
Wisconsin,10,1
Wyoming,3,1
